warehouse_id,date,picks_per_hour,lines_per_hour,receiving_volume,outbound_volume,labor_hours,errors,rework
EFC,2022-01-01,83.08,66.78,865,459,518.37,1,0
EFC,2022-01-02,77.85,63.95,674,843,571.57,4,2
EFC,2022-01-03,103.24,92.07,574,987,418.25,2,0
EFC,2022-01-04,67.96,64.23,1029,952,722.69,0,0
EFC,2022-01-05,52.57,51.67,836,1012,406.15,2,1
EFC,2022-01-06,67.55,74.91,695,790,621.48,5,3
EFC,2022-01-07,85.65,87.43,883,943,467.28,3,1
EFC,2022-01-08,83.99,80.47,419,776,663.18,2,1
EFC,2022-01-09,87.15,80.93,961,267,475.46,3,1
EFC,2022-01-10,90.81,88.71,749,926,336.46,4,2
EFC,2022-01-11,95.7,81.51,677,1000,478.1,3,0
EFC,2022-01-12,82.52,86.46,871,1211,582.78,3,2
EFC,2022-01-13,64.24,58.43,479,961,529.33,3,0
EFC,2022-01-14,58.2,60.96,558,720,445.36,2,1
EFC,2022-01-15,81.79,69.75,495,783,582.19,4,2
EFC,2022-01-16,68.18,66.46,290,772,612.22,1,0
EFC,2022-01-17,64.87,74.12,1160,900,604.37,3,0
EFC,2022-01-18,76.43,83.85,841,1425,581.88,4,2
EFC,2022-01-19,68.6,73.39,874,1045,587.38,5,3
EFC,2022-01-20,90.24,80.96,1153,625,493.45,6,3
EFC,2022-01-21,78.93,76.72,760,477,741.08,7,3
EFC,2022-01-22,76.3,63.56,868,819,616.88,4,1
EFC,2022-01-23,67.54,73.69,614,958,678.26,3,2
EFC,2022-01-24,73.94,81.59,897,693,365.94,3,2
EFC,2022-01-25,72.98,80.24,621,1294,607.74,2,0
EFC,2022-01-26,62.78,68.61,1053,868,467.04,1,0
EFC,2022-01-27,53.94,62.51,1042,893,452.59,2,1
EFC,2022-01-28,56.48,50.21,781,807,392.16,3,2
EFC,2022-01-29,83.28,74.63,741,760,917.41,2,0
EFC,2022-01-30,95.46,102.02,382,573,628.58,1,0
EFC,2022-01-31,75.48,82.43,709,561,498.84,3,1
EFC,2022-02-01,69.61,79.22,681,942,621.61,3,1
EFC,2022-02-02,93.71,81.55,730,717,764.47,3,2
EFC,2022-02-03,87.48,88.57,805,971,633.61,0,0
EFC,2022-02-04,71.14,71.32,950,1134,498.36,4,1
EFC,2022-02-05,65.93,63.84,617,659,524.18,1,0
EFC,2022-02-06,72.95,59.83,989,487,612.11,1,0
EFC,2022-02-07,103.32,107.28,796,1182,540.05,2,1
EFC,2022-02-08,92.42,90.76,524,849,541.91,4,1
EFC,2022-02-09,91.12,102.6,882,976,377.97,3,1
EFC,2022-02-10,67.97,73.88,803,789,665.71,2,1
EFC,2022-02-11,99.42,96.25,760,876,632.67,5,2
EFC,2022-02-12,74.21,80.62,1006,1076,628.83,3,1
EFC,2022-02-13,60.12,54.88,882,1206,451.85,3,2
EFC,2022-02-14,48.57,47.69,566,864,472.94,4,3
EFC,2022-02-15,86.05,98.05,839,909,502.33,4,2
EFC,2022-02-16,66.35,68.97,609,503,473.74,4,1
EFC,2022-02-17,64.57,56.15,589,1226,509.02,7,5
EFC,2022-02-18,68.88,75.15,877,774,648.63,2,0
EFC,2022-02-19,102.59,110.51,607,843,642.3,3,1
EFC,2022-02-20,95.97,86.96,950,420,477.48,6,3
EFC,2022-02-21,85.8,70.0,958,1185,433.6,3,1
EFC,2022-02-22,88.69,92.41,925,950,500.63,1,0
EFC,2022-02-23,62.26,61.56,1275,1095,336.32,2,0
EFC,2022-02-24,68.91,78.94,1151,678,510.86,4,2
EFC,2022-02-25,87.77,88.58,504,1104,570.43,1,0
EFC,2022-02-26,73.71,74.94,380,1077,339.78,2,0
EFC,2022-02-27,92.45,89.73,677,854,639.47,3,1
EFC,2022-02-28,52.51,61.37,746,1020,643.42,5,2
EFC,2022-03-01,75.46,76.36,556,527,474.04,3,2
EFC,2022-03-02,82.41,92.49,965,794,386.07,3,0
EFC,2022-03-03,88.21,74.21,735,1085,514.95,1,0
EFC,2022-03-04,64.54,68.69,937,806,538.07,2,1
EFC,2022-03-05,78.81,72.66,967,1077,539.43,2,1
EFC,2022-03-06,63.13,73.02,727,1000,535.71,5,3
EFC,2022-03-07,76.85,71.1,844,717,624.53,2,0
EFC,2022-03-08,59.12,62.41,932,632,371.93,2,1
EFC,2022-03-09,64.04,64.58,757,930,453.74,0,0
EFC,2022-03-10,100.6,113.91,887,767,399.49,1,0
EFC,2022-03-11,82.67,67.31,1087,795,427.26,2,1
EFC,2022-03-12,62.52,63.21,523,936,487.49,2,0
EFC,2022-03-13,73.28,81.06,704,948,673.85,2,0
EFC,2022-03-14,70.18,70.76,525,607,727.84,1,0
EFC,2022-03-15,75.27,83.62,784,839,585.18,2,1
EFC,2022-03-16,87.52,93.84,785,817,446.12,4,3
EFC,2022-03-17,85.95,93.86,626,988,462.78,3,1
EFC,2022-03-18,55.54,44.74,1227,902,433.27,0,0
EFC,2022-03-19,97.83,116.62,670,756,504.61,2,0
EFC,2022-03-20,90.17,100.21,714,751,620.67,5,2
EFC,2022-03-21,83.04,73.48,698,850,544.89,3,1
EFC,2022-03-22,90.04,81.02,661,1111,609.47,1,0
EFC,2022-03-23,60.46,55.01,553,747,371.74,3,1
EFC,2022-03-24,67.44,54.32,867,1059,442.94,6,4
EFC,2022-03-25,81.39,87.53,790,986,548.07,2,1
EFC,2022-03-26,69.45,61.35,675,670,430.75,4,1
EFC,2022-03-27,68.05,59.72,723,1033,477.31,4,1
EFC,2022-03-28,62.6,53.47,887,912,612.39,2,1
EFC,2022-03-29,52.23,54.93,766,671,399.64,6,2
EFC,2022-03-30,66.07,53.99,761,894,518.12,6,4
EFC,2022-03-31,114.49,101.25,738,724,685.81,2,0
EFC,2022-04-01,84.58,95.91,856,1007,571.48,2,0
EFC,2022-04-02,61.15,49.51,755,768,528.86,3,2
EFC,2022-04-03,105.86,100.99,882,1016,464.08,4,2
