sku_id,sku_name,category,sub_category,cost,price,supplier_id,weight,profit_per_unit,margin_pct
SKU00001,Product SKU00001,Home & Kitchen,Appliances,76.16,185.52,SUP048,36.63,109.36000000000001,1.4359243697478994
SKU00002,Product SKU00002,Health & Beauty,Skincare,120.53,169.08,SUP015,7.88,48.55000000000001,0.40280428109184446
SKU00003,Product SKU00003,Apparel,Kids,13.5,31.4,SUP007,30.1,17.9,1.3259259259259257
SKU00004,Product SKU00004,Grocery,Dry Goods,142.2,174.45,SUP038,48.5,32.25,0.22679324894514769
SKU00005,Product SKU00005,Automotive,Parts,166.82,246.23,SUP002,9.17,79.41,0.47602205970507133
SKU00006,Product SKU00006,Home & Kitchen,Appliances,38.31,61.12,SUP015,26.29,22.809999999999995,0.5954058992430173
SKU00007,Product SKU00007,Grocery,Snacks,87.53,138.17,SUP002,30.63,50.639999999999986,0.5785444990289043
SKU00008,Product SKU00008,Grocery,Dry Goods,29.62,46.79,SUP046,18.38,17.169999999999998,0.5796758946657663
SKU00009,Product SKU00009,Grocery,Beverages,92.3,204.97,SUP015,10.06,112.67,1.2206933911159263
SKU00010,Product SKU00010,Office Supplies,Storage,103.82,204.54,SUP018,2.42,100.72,0.9701406280100174
SKU00011,Product SKU00011,Electronics,Laptop,122.29,173.86,SUP045,3.35,51.57000000000001,0.4217025104260365
SKU00012,Product SKU00012,Automotive,Accessories,189.88,466.22,SUP018,40.44,276.34000000000003,1.4553402148725514
SKU00013,Product SKU00013,Apparel,Men,62.31,82.68,SUP049,34.24,20.370000000000005,0.3269138180067406
SKU00014,Product SKU00014,Toys,Educational,89.15,121.12,SUP006,24.81,31.97,0.3586090858104318
SKU00015,Product SKU00015,Automotive,Parts,8.81,20.99,SUP023,13.01,12.179999999999998,1.3825198637911462
SKU00016,Product SKU00016,Toys,Puzzles,133.18,213.78,SUP017,26.05,80.6,0.6051959753716774
SKU00017,Product SKU00017,Electronics,Audio,110.25,158.79,SUP035,48.48,48.53999999999999,0.44027210884353735
SKU00018,Product SKU00018,Home & Kitchen,Cookware,155.48,376.47,SUP006,44.75,220.99000000000004,1.4213403653202987
SKU00019,Product SKU00019,Grocery,Beverages,120.38,288.72,SUP054,4.52,168.34000000000003,1.3984050506728696
SKU00020,Product SKU00020,Pet Supplies,Cat,40.8,51.36,SUP037,16.33,10.560000000000002,0.2588235294117648
SKU00021,Product SKU00021,Sports,Team Sports,78.96,122.61,SUP005,41.45,43.650000000000006,0.5528115501519758
SKU00022,Product SKU00022,Electronics,Laptop,72.64,113.7,SUP050,27.18,41.06,0.5652533039647577
SKU00023,Product SKU00023,Health & Beauty,Skincare,29.9,67.06,SUP055,3.82,37.160000000000004,1.2428093645484952
SKU00024,Product SKU00024,Sports,Fitness,197.4,435.05,SUP025,10.02,237.65,1.2039007092198581
SKU00025,Product SKU00025,Health & Beauty,Supplements,3.09,6.98,SUP041,35.37,3.8900000000000006,1.2588996763754048
SKU00026,Product SKU00026,Toys,Educational,146.34,322.34,SUP024,3.79,175.99999999999997,1.202678693453601
SKU00027,Product SKU00027,Toys,Educational,72.98,98.57,SUP043,43.17,25.58999999999999,0.3506440120580979
SKU00028,Product SKU00028,Health & Beauty,Personal Care,125.41,204.44,SUP060,3.27,79.03,0.6301730324535524
SKU00029,Product SKU00029,Home & Kitchen,Decor,63.57,103.16,SUP041,36.51,39.589999999999996,0.622778039955954
SKU00030,Product SKU00030,Apparel,Kids,128.24,301.8,SUP047,23.66,173.56,1.3533998752339362
SKU00031,Product SKU00031,Sports,Fitness,25.68,54.63,SUP030,38.06,28.950000000000003,1.127336448598131
SKU00032,Product SKU00032,Automotive,Accessories,113.13,249.14,SUP060,24.74,136.01,1.2022452046318395
SKU00033,Product SKU00033,Grocery,Dry Goods,105.5,185.24,SUP044,1.37,79.74000000000001,0.755829383886256
SKU00034,Product SKU00034,Toys,Educational,23.36,28.99,SUP015,31.86,5.629999999999999,0.2410102739726027
SKU00035,Product SKU00035,Electronics,Accessories,64.24,119.56,SUP026,45.39,55.32000000000001,0.8611457036114573
SKU00036,Product SKU00036,Health & Beauty,Skincare,51.36,89.03,SUP014,37.8,37.67,0.7334501557632399
SKU00037,Product SKU00037,Pet Supplies,Other Pets,47.3,61.49,SUP021,14.56,14.190000000000005,0.3000000000000001
SKU00038,Product SKU00038,Sports,Team Sports,33.92,81.7,SUP032,40.43,47.78,1.4086084905660377
SKU00039,Product SKU00039,Automotive,Accessories,127.41,297.23,SUP010,40.2,169.82000000000002,1.332862412683463
SKU00040,Product SKU00040,Health & Beauty,Skincare,38.94,91.91,SUP016,27.01,52.97,1.3602978941961994
SKU00041,Product SKU00041,Grocery,Snacks,161.87,382.81,SUP017,15.97,220.94,1.3649224686476802
SKU00042,Product SKU00042,Pet Supplies,Cat,23.79,35.6,SUP058,21.41,11.810000000000002,0.4964270701975621
SKU00043,Product SKU00043,Pet Supplies,Cat,163.97,380.24,SUP024,0.45,216.27,1.3189607855095444
SKU00044,Product SKU00044,Sports,Fitness,103.13,179.72,SUP033,11.18,76.59,0.7426549015805295
SKU00045,Product SKU00045,Office Supplies,Paper,25.73,42.17,SUP049,47.15,16.44,0.6389428682471823
SKU00046,Product SKU00046,Electronics,Mobile,65.99,123.69,SUP010,35.18,57.7,0.8743749052886802
SKU00047,Product SKU00047,Apparel,Kids,74.0,182.29,SUP028,48.13,108.28999999999999,1.4633783783783783
SKU00048,Product SKU00048,Pet Supplies,Dog,51.85,95.74,SUP025,15.11,43.88999999999999,0.8464802314368369
