supplier_id,shipment_id,order_date,promised_lead_time,actual_lead_time,units_ordered,units_received,delivery_status,cost_per_unit,fill_rate,lead_variance
SUP011,SHP000001,2022,8,12,69,69,Late,68.3,1.0,4
SUP026,SHP000002,2022,20,23,330,330,Late,179.33,1.0,3
SUP038,SHP000003,2023,20,23,464,464,Late,135.43,1.0,3
SUP019,SHP000004,2023,11,9,394,394,Early,88.34,1.0,-2
SUP011,SHP000005,2023,19,22,476,476,Late,163.9,1.0,3
SUP002,SHP000006,2023,19,21,148,148,Late,127.06,1.0,2
SUP014,SHP000007,2022,9,9,79,79,On-Time,68.02,1.0,0
SUP046,SHP000008,2022,4,4,232,164,On-Time,94.04,0.7068965517241379,0
SUP045,SHP000009,2024,11,4,73,73,Early,83.71,1.0,-7
SUP038,SHP000010,2023,15,15,492,492,On-Time,196.58,1.0,0
SUP035,SHP000011,2022,5,5,417,417,On-Time,12.53,1.0,0
SUP044,SHP000012,2024,8,8,120,104,On-Time,14.0,0.8666666666666667,0
SUP043,SHP000013,2024,14,10,468,468,Early,195.32,1.0,-4
SUP016,SHP000014,2024,17,13,410,410,Early,115.19,1.0,-4
SUP057,SHP000015,2023,12,13,362,362,On-Time,67.86,1.0,1
SUP006,SHP000016,2023,18,12,399,399,Early,26.76,1.0,-6
SUP044,SHP000017,2022,12,17,122,122,Late,144.49,1.0,5
SUP050,SHP000018,2023,9,10,356,356,On-Time,39.08,1.0,1
SUP016,SHP000019,2022,5,3,95,95,Early,121.18,1.0,-2
SUP021,SHP000020,2024,19,11,124,124,Early,30.99,1.0,-8
SUP020,SHP000021,2022,17,19,395,395,Late,67.27,1.0,2
SUP044,SHP000022,2023,13,5,271,271,Early,153.67,1.0,-8
SUP041,SHP000023,2022,3,2,54,54,On-Time,162.27,1.0,-1
SUP039,SHP000024,2022,20,19,107,94,On-Time,35.53,0.8785046728971962,-1
SUP045,SHP000025,2023,11,4,218,218,Early,61.47,1.0,-7
SUP002,SHP000026,2024,4,1,331,331,Early,26.22,1.0,-3
SUP008,SHP000027,2022,18,16,426,378,Early,52.41,0.8873239436619719,-2
SUP019,SHP000028,2022,20,21,369,369,On-Time,191.74,1.0,1
SUP023,SHP000029,2024,20,20,247,247,On-Time,92.34,1.0,0
SUP050,SHP000030,2023,16,12,115,115,Early,188.39,1.0,-4
SUP037,SHP000031,2022,7,2,489,489,Early,124.45,1.0,-5
SUP040,SHP000032,2022,17,13,495,495,Early,9.94,1.0,-4
SUP027,SHP000033,2023,7,7,184,184,On-Time,136.03,1.0,0
SUP029,SHP000034,2022,17,14,165,165,Early,73.83,1.0,-3
SUP002,SHP000035,2024,17,17,438,438,On-Time,116.74,1.0,0
SUP025,SHP000036,2022,16,18,238,238,Late,88.51,1.0,2
SUP039,SHP000037,2024,12,9,399,399,Early,36.49,1.0,-3
SUP012,SHP000038,2024,16,22,291,291,Late,114.76,1.0,6
SUP005,SHP000039,2023,8,10,361,361,Late,50.68,1.0,2
SUP040,SHP000040,2022,12,10,136,136,Early,66.83,1.0,-2
SUP022,SHP000041,2023,6,12,438,438,Late,199.83,1.0,6
SUP053,SHP000042,2024,10,12,489,489,Late,102.42,1.0,2
SUP035,SHP000043,2022,8,4,365,365,Early,70.52,1.0,-4
SUP029,SHP000044,2024,3,12,206,206,Late,176.58,1.0,9
SUP013,SHP000045,2024,8,7,314,314,On-Time,14.41,1.0,-1
SUP001,SHP000046,2023,13,19,68,68,Late,115.64,1.0,6
SUP024,SHP000047,2023,8,7,315,315,On-Time,48.26,1.0,-1
SUP017,SHP000048,2023,12,11,184,184,On-Time,49.57,1.0,-1
SUP039,SHP000049,2023,15,13,192,192,Early,52.76,1.0,-2
SUP034,SHP000050,2023,18,18,225,175,On-Time,136.7,0.7777777777777778,0
SUP011,SHP000051,2024,7,3,429,429,Early,165.88,1.0,-4
SUP018,SHP000052,2022,8,8,351,351,On-Time,37.54,1.0,0
SUP015,SHP000053,2023,18,16,192,192,Early,91.95,1.0,-2
SUP036,SHP000054,2022,7,7,106,83,On-Time,199.88,0.7830188679245284,0
SUP059,SHP000055,2022,11,13,349,349,Late,60.08,1.0,2
SUP033,SHP000056,2023,3,1,278,278,Early,194.41,1.0,-2
SUP048,SHP000057,2023,6,6,55,55,On-Time,133.74,1.0,0
SUP050,SHP000058,2024,14,14,302,302,On-Time,196.37,1.0,0
SUP018,SHP000059,2023,10,7,337,337,Early,131.09,1.0,-3
SUP043,SHP000060,2024,11,6,257,257,Early,194.79,1.0,-5
SUP051,SHP000061,2022,19,19,293,293,On-Time,64.66,1.0,0
SUP016,SHP000062,2022,3,5,151,151,Late,138.09,1.0,2
SUP052,SHP000063,2024,15,11,123,123,Early,23.1,1.0,-4
SUP004,SHP000064,2023,8,9,96,67,On-Time,12.99,0.6979166666666666,1
SUP045,SHP000065,2024,14,16,414,414,Late,154.44,1.0,2
SUP010,SHP000066,2022,15,14,328,328,On-Time,109.85,1.0,-1
SUP051,SHP000067,2024,11,14,94,94,Late,158.32,1.0,3
SUP056,SHP000068,2022,4,3,226,226,On-Time,191.2,1.0,-1
SUP045,SHP000069,2022,15,13,386,386,Early,43.42,1.0,-2
SUP044,SHP000070,2024,20,19,229,229,On-Time,189.39,1.0,-1
SUP053,SHP000071,2024,17,18,396,396,On-Time,127.24,1.0,1
SUP048,SHP000072,2023,16,18,264,264,Late,3.54,1.0,2
SUP005,SHP000073,2023,9,10,318,257,On-Time,159.13,0.8081761006289309,1
