warehouse_id,work_date,picks_per_hour,lines_per_hour,receiving_volume,outbound_volume,labor_hours,errors,rework,units_per_labor_hour,error_rate
EFC,2022,83.08,66.78,865,459,518.37,1,0,0.8854679090225128,0.002178649237472767
EFC,2022,77.85,63.95,674,843,571.57,4,2,1.474884965970922,0.004744958481613286
EFC,2022,103.24,92.07,574,987,418.25,2,0,2.3598326359832638,0.002026342451874367
EFC,2022,67.96,64.23,1029,952,722.69,0,0,1.3173006406619712,0.0
EFC,2022,52.57,51.67,836,1012,406.15,2,1,2.4916902622183925,0.001976284584980237
EFC,2022,67.55,74.91,695,790,621.48,5,3,1.271159168436635,0.006329113924050633
EFC,2022,85.65,87.43,883,943,467.28,3,1,2.0180619756890943,0.003181336161187699
EFC,2022,83.99,80.47,419,776,663.18,2,1,1.170119726167858,0.002577319587628866
EFC,2022,87.15,80.93,961,267,475.46,3,1,0.5615614352416607,0.011235955056179775
EFC,2022,90.81,88.71,749,926,336.46,4,2,2.7521845093027406,0.004319654427645789
EFC,2022,95.7,81.51,677,1000,478.1,3,0,2.091612633340305,0.003
EFC,2022,82.52,86.46,871,1211,582.78,3,2,2.077971104018669,0.002477291494632535
EFC,2022,64.24,58.43,479,961,529.33,3,0,1.8155026165152173,0.003121748178980229
EFC,2022,58.2,60.96,558,720,445.36,2,1,1.6166696604993713,0.002777777777777778
EFC,2022,81.79,69.75,495,783,582.19,4,2,1.3449217609371509,0.005108556832694764
EFC,2022,68.18,66.46,290,772,612.22,1,0,1.2609846133742773,0.0012953367875647669
EFC,2022,64.87,74.12,1160,900,604.37,3,0,1.4891539950692456,0.0033333333333333335
EFC,2022,76.43,83.85,841,1425,581.88,4,2,2.4489585481542586,0.002807017543859649
EFC,2022,68.6,73.39,874,1045,587.38,5,3,1.7790867921958529,0.004784688995215311
EFC,2022,90.24,80.96,1153,625,493.45,6,3,1.266592359914885,0.0096
EFC,2022,78.93,76.72,760,477,741.08,7,3,0.6436552059156906,0.014675052410901468
EFC,2022,76.3,63.56,868,819,616.88,4,1,1.327648813383478,0.004884004884004884
EFC,2022,67.54,73.69,614,958,678.26,3,2,1.412437708253472,0.003131524008350731
EFC,2022,73.94,81.59,897,693,365.94,3,2,1.8937530742744713,0.004329004329004329
EFC,2022,72.98,80.24,621,1294,607.74,2,0,2.129199986836476,0.0015455950540958269
EFC,2022,62.78,68.61,1053,868,467.04,1,0,1.8585131894484412,0.001152073732718894
EFC,2022,53.94,62.51,1042,893,452.59,2,1,1.9730882255463003,0.0022396416573348264
EFC,2022,56.48,50.21,781,807,392.16,3,2,2.0578335373317014,0.0037174721189591076
EFC,2022,83.28,74.63,741,760,917.41,2,0,0.8284191364820528,0.002631578947368421
EFC,2022,95.46,102.02,382,573,628.58,1,0,0.9115784784752935,0.0017452006980802793
EFC,2022,75.48,82.43,709,561,498.84,3,1,1.1246090930959827,0.0053475935828877
EFC,2022,69.61,79.22,681,942,621.61,3,1,1.5154196361062402,0.0031847133757961785
EFC,2022,93.71,81.55,730,717,764.47,3,2,0.9379046921396523,0.0041841004184100415
EFC,2022,87.48,88.57,805,971,633.61,0,0,1.5324884392607439,0.0
EFC,2022,71.14,71.32,950,1134,498.36,4,1,2.275463520346737,0.003527336860670194
EFC,2022,65.93,63.84,617,659,524.18,1,0,1.2572017245984206,0.0015174506828528073
EFC,2022,72.95,59.83,989,487,612.11,1,0,0.7956086324353465,0.002053388090349076
EFC,2022,103.32,107.28,796,1182,540.05,2,1,2.1886862327562264,0.001692047377326565
EFC,2022,92.42,90.76,524,849,541.91,4,1,1.5666808141573325,0.004711425206124852
EFC,2022,91.12,102.6,882,976,377.97,3,1,2.5822155197502443,0.0030737704918032786
EFC,2022,67.97,73.88,803,789,665.71,2,1,1.1852007630950414,0.0025348542458808617
EFC,2022,99.42,96.25,760,876,632.67,5,2,1.384608089525345,0.005707762557077625
EFC,2022,74.21,80.62,1006,1076,628.83,3,1,1.7111142916209467,0.0027881040892193307
EFC,2022,60.12,54.88,882,1206,451.85,3,2,2.6690273320792297,0.0024875621890547263
EFC,2022,48.57,47.69,566,864,472.94,4,3,1.826870216095065,0.004629629629629629
EFC,2022,86.05,98.05,839,909,502.33,4,2,1.8095674158421755,0.0044004400440044
EFC,2022,66.35,68.97,609,503,473.74,4,1,1.061763836703677,0.007952286282306162
EFC,2022,64.57,56.15,589,1226,509.02,7,5,2.408549762288319,0.005709624796084829
EFC,2022,68.88,75.15,877,774,648.63,2,0,1.1932843069238241,0.002583979328165375
EFC,2022,102.59,110.51,607,843,642.3,3,1,1.3124708080336291,0.0035587188612099642
EFC,2022,95.97,86.96,950,420,477.48,6,3,0.8796179944709726,0.014285714285714285
EFC,2022,85.8,70.0,958,1185,433.6,3,1,2.732933579335793,0.002531645569620253
EFC,2022,88.69,92.41,925,950,500.63,1,0,1.8976090126440686,0.0010526315789473684
EFC,2022,62.26,61.56,1275,1095,336.32,2,0,3.255827783063749,0.0018264840182648401
EFC,2022,68.91,78.94,1151,678,510.86,4,2,1.3271737853815135,0.0058997050147492625
EFC,2022,87.77,88.58,504,1104,570.43,1,0,1.9353820801851236,0.0009057971014492754
EFC,2022,73.71,74.94,380,1077,339.78,2,0,3.1696980399081762,0.0018570102135561746
EFC,2022,92.45,89.73,677,854,639.47,3,1,1.3354809451577088,0.00351288056206089
EFC,2022,52.51,61.37,746,1020,643.42,5,2,1.5852786671225638,0.004901960784313725
EFC,2022,75.46,76.36,556,527,474.04,3,2,1.1117205299130875,0.0056925996204933585
EFC,2022,82.41,92.49,965,794,386.07,3,0,2.056621856140078,0.003778337531486146
EFC,2022,88.21,74.21,735,1085,514.95,1,0,2.1070006796776384,0.0009216589861751152
EFC,2022,64.54,68.69,937,806,538.07,2,1,1.4979463638560038,0.0024813895781637717
EFC,2022,78.81,72.66,967,1077,539.43,2,1,1.99655191591124,0.0018570102135561746
EFC,2022,63.13,73.02,727,1000,535.71,5,3,1.8666816001194675,0.005
EFC,2022,76.85,71.1,844,717,624.53,2,0,1.1480633436344132,0.002789400278940028
EFC,2022,59.12,62.41,932,632,371.93,2,1,1.6992444814884522,0.0031645569620253164
EFC,2022,64.04,64.58,757,930,453.74,0,0,2.049631947811522,0.0
EFC,2022,100.6,113.91,887,767,399.49,1,0,1.9199479336153595,0.001303780964797914
EFC,2022,82.67,67.31,1087,795,427.26,2,1,1.8606937227917428,0.0025157232704402514
EFC,2022,62.52,63.21,523,936,487.49,2,0,1.9200393854232907,0.002136752136752137
EFC,2022,73.28,81.06,704,948,673.85,2,0,1.4068412851524819,0.002109704641350211
EFC,2022,70.18,70.76,525,607,727.84,1,0,0.8339744998900857,0.0016474464579901153
EFC,2022,75.27,83.62,784,839,585.18,2,1,1.43374688130148,0.0023837902264600714
EFC,2022,87.52,93.84,785,817,446.12,4,3,1.8313458262350937,0.004895960832313341
EFC,2022,85.95,93.86,626,988,462.78,3,1,2.1349237218548773,0.003036437246963563
EFC,2022,55.54,44.74,1227,902,433.27,0,0,2.0818427308606644,0.0
EFC,2022,97.83,116.62,670,756,504.61,2,0,1.498186718455837,0.0026455026455026454
EFC,2022,90.17,100.21,714,751,620.67,5,2,1.2099827605651958,0.006657789613848202
EFC,2022,83.04,73.48,698,850,544.89,3,1,1.5599478793885004,0.0035294117647058825
EFC,2022,90.04,81.02,661,1111,609.47,1,0,1.8228953024759216,0.0009000900090009
EFC,2022,60.46,55.01,553,747,371.74,3,1,2.0094689836982838,0.004016064257028112
EFC,2022,67.44,54.32,867,1059,442.94,6,4,2.3908430035670745,0.0056657223796034
EFC,2022,81.39,87.53,790,986,548.07,2,1,1.799040268578831,0.002028397565922921
EFC,2022,69.45,61.35,675,670,430.75,4,1,1.5554265815438189,0.005970149253731343
EFC,2022,68.05,59.72,723,1033,477.31,4,1,2.1642119377343865,0.003872216844143272
EFC,2022,62.6,53.47,887,912,612.39,2,1,1.4892470484495175,0.0021929824561403508
EFC,2022,52.23,54.93,766,671,399.64,6,2,1.679011109998999,0.00894187779433681
EFC,2022,66.07,53.99,761,894,518.12,6,4,1.7254690033196942,0.006711409395973154
EFC,2022,114.49,101.25,738,724,685.81,2,0,1.0556859771656875,0.0027624309392265192
EFC,2022,84.58,95.91,856,1007,571.48,2,0,1.7620914117729405,0.0019860973187686196
EFC,2022,61.15,49.51,755,768,528.86,3,2,1.4521801611012366,0.00390625
EFC,2022,105.86,100.99,882,1016,464.08,4,2,2.189277710739528,0.003937007874015748
EFC,2022,92.1,78.07,771,715,514.87,5,2,1.3887000602093733,0.006993006993006993
EFC,2022,72.21,80.86,808,373,545.67,2,0,0.6835633258196346,0.005361930294906166
EFC,2022,67.67,66.08,851,1119,546.01,4,1,2.0494130144136555,0.0035746201966041107
