sku_id,sku_name,category,sub_category,cost,price,supplier_id,weight
SKU00001,Product SKU00001,Home & Kitchen,Appliances,76.16,185.52,SUP048,36.63
SKU00002,Product SKU00002,Health & Beauty,Skincare,120.53,169.08,SUP015,7.88
SKU00003,Product SKU00003,Apparel,Kids,13.5,31.4,SUP007,30.1
SKU00004,Product SKU00004,Grocery,Dry Goods,142.2,174.45,SUP038,48.5
SKU00005,Product SKU00005,Automotive,Parts,166.82,246.23,SUP002,9.17
SKU00006,Product SKU00006,Home & Kitchen,Appliances,38.31,61.12,SUP015,26.29
SKU00007,Product SKU00007,Grocery,Snacks,87.53,138.17,SUP002,30.63
SKU00008,Product SKU00008,Grocery,Dry Goods,29.62,46.79,SUP046,18.38
SKU00009,Product SKU00009,Grocery,Beverages,92.3,204.97,SUP015,10.06
SKU00010,Product SKU00010,Office Supplies,Storage,103.82,204.54,SUP018,2.42
SKU00011,Product SKU00011,Electronics,Laptop,122.29,173.86,SUP045,3.35
SKU00012,Product SKU00012,Automotive,Accessories,189.88,466.22,SUP018,40.44
SKU00013,Product SKU00013,Apparel,Men,62.31,82.68,SUP049,34.24
SKU00014,Product SKU00014,Toys,Educational,89.15,121.12,SUP006,24.81
SKU00015,Product SKU00015,Automotive,Parts,8.81,20.99,SUP023,13.01
SKU00016,Product SKU00016,Toys,Puzzles,133.18,213.78,SUP017,26.05
SKU00017,Product SKU00017,Electronics,Audio,110.25,158.79,SUP035,48.48
SKU00018,Product SKU00018,Home & Kitchen,Cookware,155.48,376.47,SUP006,44.75
SKU00019,Product SKU00019,Grocery,Beverages,120.38,288.72,SUP054,4.52
SKU00020,Product SKU00020,Pet Supplies,Cat,40.8,51.36,SUP037,16.33
SKU00021,Product SKU00021,Sports,Team Sports,78.96,122.61,SUP005,41.45
SKU00022,Product SKU00022,Electronics,Laptop,72.64,113.7,SUP050,27.18
SKU00023,Product SKU00023,Health & Beauty,Skincare,29.9,67.06,SUP055,3.82
SKU00024,Product SKU00024,Sports,Fitness,197.4,435.05,SUP025,10.02
SKU00025,Product SKU00025,Health & Beauty,Supplements,3.09,6.98,SUP041,35.37
SKU00026,Product SKU00026,Toys,Educational,146.34,322.34,SUP024,3.79
SKU00027,Product SKU00027,Toys,Educational,72.98,98.57,SUP043,43.17
SKU00028,Product SKU00028,Health & Beauty,Personal Care,125.41,204.44,SUP060,3.27
SKU00029,Product SKU00029,Home & Kitchen,Decor,63.57,103.16,SUP041,36.51
SKU00030,Product SKU00030,Apparel,Kids,128.24,301.8,SUP047,23.66
SKU00031,Product SKU00031,Sports,Fitness,25.68,54.63,SUP030,38.06
SKU00032,Product SKU00032,Automotive,Accessories,113.13,249.14,SUP060,24.74
